id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Pulse,Pulse Grid,edm,euphoric,0.95,134,0.80,0.92,0.03
12,Overdrive,Voltline,rock,intense,0.90,148,0.45,0.68,0.08
13,Window Seat,Paper Lanterns,lofi,chill,0.33,70,0.55,0.50,0.88
14,Tea and Vinyl,LoRoom,lofi,chill,0.38,75,0.58,0.60,0.80
15,Golden Hour,Indigo Parade,indie pop,happy,0.78,120,0.83,0.80,0.30
16,Sunny Side Up,Neon Echo,pop,happy,0.80,116,0.82,0.78,0.20
17,Backroad Ballad,Dusty Trail,country,nostalgic,0.45,95,0.62,0.55,0.60
18,Midnight Sermon,Soul Fire,soul,passionate,0.60,88,0.70,0.65,0.45
19,Concrete Jungle,Trap City,hip-hop,confident,0.72,140,0.68,0.85,0.08
20,Riot Act,Broken Amps,punk,angry,0.96,168,0.30,0.55,0.04
21,Moonlit Waltz,Silent Strings,classical,peaceful,0.18,62,0.55,0.20,0.97
22,Island Time,Sunny Coast,reggae,relaxed,0.50,82,0.75,0.70,0.40
23,Neon Skyline,Starlight Six,k-pop,energetic,0.85,126,0.88,0.90,0.10
24,Basement Groove,Funk Bureau,funk,upbeat,0.68,108,0.79,0.83,0.25
25,Whiskey Nights,Blue Room Trio,blues,melancholy,0.42,76,0.40,0.45,0.55
